person1,person2,c_assoc_desc_chn,count
曾巩,吴师道,祠记由Y所作,1
曾巩,吴氏(曾易占妻),为Y作祝词,1
曾巩,吴氏(王益妻),为Y作墓志铭,1
曾巩,吴祥,为Y作墓志铭,1
曾巩,周中复,为Y作临别赠言(送别诗、序),1
曾巩,周中复,献文、书于Y,1
曾巩,周必大,书跋由Y所作,1
曾巩,周旻,为Y作墓志铭,1
曾巩,周氏(曾易占妻),为Y作祝词,1
曾巩,周氏(陈枢母),为Y作墓志铭,1
曾巩,周琬,为Y作墓志铭,1
曾巩,夏希道,为Y之建筑物题咏、记、命名,1
曾巩,孔延之,为Y作墓志铭,1
曾巩,孔延之,为Y作祭文,1
曾巩,孔延之,友,1
曾巩,孔武仲,祭文由Y所作,1
曾巩,孙侔,与Y游,1
曾巩,孙侔,从Y游,1
曾巩,孙抗,致书Y,1
曾巩,孙永,为Y之建筑物题咏、记、命名,1
曾巩,孙甫,为Y作行状,1
曾巩,孙立节,友,1
曾巩,孙适,为Y作墓志铭,1
曾巩,宋敏求,为Y作祭文,1
曾巩,宋敏求,代Y作文,1
曾巩,尹洙,为Y之建筑物题咏、记、命名,1
曾巩,张保雍,为Y作墓志铭,1
曾巩,张保雍,为Y作神道碑,1
曾巩,张如纶,为Y之建筑物题咏、记、命名,1
曾巩,张峋,为Y之建筑物题咏、记、命名,1
曾巩,张彦博,为Y所著书作序,1
曾巩,张持,为Y作墓志铭,1
曾巩,张持,收到Y所献诗、文、书,1
曾巩,张文淑,学生为Y,1
曾巩,张氏(晁遘妻),为Y作墓志铭,1
曾巩,张氏(章佑妻),为Y作墓志铭,1
曾巩,张瓌,为Y作祭文,1
曾巩,张耒,书跋由Y所作,1
曾巩,张耒,被致书由Y,1
曾巩,强至,为Y所著书作序,1
曾巩,彭几,被Y批评,1
曾巩,徐元榆,为Y作墓志铭,1
曾巩,徐复,为Y作传,1
曾巩,徐洪,为Y作墓志铭,1
曾巩,戚师道,为Y作墓志铭,1
曾巩,戚舜臣,为Y作墓志铭,1
曾巩,方叔完,推荐,1
曾巩,方叔完,欣赏/器重,1
曾巩,晁宗恪,为Y作墓志铭,1
曾巩,晁宗恪,为Y作祭文,1
曾巩,晁德仪,为Y作墓志铭,1
曾巩,晁遘,为Y作墓志铭,1
曾巩,晏殊,为Y所著书作序,1
曾巩,曾宰,为Y作墓志铭,1
曾巩,曾庠,为Y作墓志铭,1
曾巩,曾德操,为Y作墓志铭,1
曾巩,曾德耀,为Y作墓志铭,1
曾巩,曾易占,为Y作墓志铭,1
曾巩,曾易占,为Y作祭文,1
曾巩,曾曅,为Y作墓志铭,1
曾巩,曾氏(朱轼母),为Y作墓志铭,1
曾巩,曾肇,行状由Y所作,1
曾巩,曾致尧,为Y所著书作序,1
曾巩,曾觉,为Y作墓志铭,1
曾巩,曾谊,为Y作墓志铭,1
曾巩,朱寿昌,为Y之建筑物题咏、记、命名,1
曾巩,朱熹,书序由Y所作,1
曾巩,朱熹,书跋由Y所作,1
曾巩,朱轼,学生为Y,1
曾巩,朱齐卿,为Y作墓志铭,1
曾巩,李丕,为Y作墓志铭,1
曾巩,李中,友,1
曾巩,李斡,为Y之建筑物题咏、记、命名,1
曾巩,李材叔,为Y作临别赠言(送别诗、序),1
曾巩,李献卿,为Y之建筑物题咏、记、命名,1
曾巩,李献卿,为Y作临别赠言(送别诗、序),1
曾巩,李献卿,为Y作庙碑记,1
曾巩,李白,为Y所著书作序,1
曾巩,李肃之,为Y之建筑物题咏、记、命名,1
曾巩,李觏,为Y之门人,1
曾巩,李详,为Y作学记（书院记）,1
曾巩,杜莹,为Y作墓志铭,1
曾巩,林慥,为Y之建筑物题咏、记、命名,1
曾巩,林慥,为Y所著书作序,1
曾巩,林高,为Y作墓志铭,1
曾巩,柳拱辰,为Y之建筑物题咏、记、命名,1
曾巩,欧阳修,临别得到Y所作赠言(送别诗、序),1
曾巩,欧阳修,为Y之学生,1
曾巩,欧阳修,为Y之建筑物题咏、记、命名,1
曾巩,欧阳修,为Y作祭文,1
曾巩,欧阳修,收到Y的答书,1
曾巩,欧阳修,被Y推荐,1
曾巩,江任,临别得到Y所作赠言(送别诗、序),1
曾巩,江任,为Y作临别赠言(送别诗、序),1
曾巩,汪遘,为Y之建筑物题咏、记、命名,1
曾巩,沈叔通,友,1
曾巩,沈周,为Y作墓志铭,1
曾巩,沈季长,友,1
曾巩,沈播,为Y作墓志铭,1
曾巩,沈辽,祭文由Y所作,1
曾巩,洪渥,为Y作传,1
曾巩,洪规,为Y所著书作序,1
曾巩,洪规,欣赏/器重,1
曾巩,湛俞,为Y作祭文,1
曾巩,潘兴嗣,友,1
曾巩,王冏,为Y作墓志铭,1
曾巩,王冏,为Y所著书作序,1
曾巩,王几,为Y作墓志铭,1
曾巩,王向,为Y所著书作序,1
曾巩,王向,致书Y,1
曾巩,王回,为Y所著书作序,1
曾巩,王回,收到Y的答书,1
曾巩,王回,答Y书,1
曾巩,王回,致书Y,1
曾巩,王安国,为Y作祭文,1
曾巩,王安国,为Y所著书作序,1
曾巩,王安石,友,1
曾巩,王安石,收到Y的答书,1
曾巩,王安石,被致书由Y,1
曾巩,王宝臣,为Y作墓志铭,1
曾巩,王希,与Y游,1
曾巩,王希,为Y作临别赠言(送别诗、序),1
曾巩,王平,为Y作墓志铭,1
